                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                               extra_heat                          ratio_extra_nuc 
                                      33                  9.9999999990150079E-001                  2.8192374315609683E-004                  3.9227567328301562E+000                 -6.5605811928025206E+000                  5.1706390885640854E+000                  6.9999998907591998E-001                  2.8000001092408022E-001                  1.9999999999999796E-002                  7.9615346492992012E-009                  1.9710048528482285E+017 
                                      34                  9.9999999989837585E-001                  2.7961140401600227E-004                  3.9272308461269172E+000                 -6.5573666600055853E+000                  5.1787483310860569E+000                  6.9999998907591998E-001                  2.8000001092408022E-001                  1.9999999999999796E-002                  7.9615346497967933E-009                  1.9564587854583139E+017 
                                      35                  9.9999999989525090E-001                  2.7731608048335978E-004                  3.9335359789853808E+000                 -6.5524405075368923E+000                  5.1906354147302860E+000                  6.9999998907591998E-001                  2.8000001092408022E-001                  1.9999999999999796E-002                  7.9615346502943838E-009                  1.9343754322195619E+017 
                                      36                  9.9999999988900090E-001                  2.7277710325660962E-004                  3.9419891648540024E+000                 -6.5446556612356934E+000                  5.2078780992537048E+000                  6.9999998907591998E-001                  2.8000001092408022E-001                  1.9999999999999796E-002                  7.9615346512895648E-009                  1.8999838030541715E+017 
                                      37                  9.9999999988118848E-001                  2.6720398397013024E-004                  3.9481946060277480E+000                 -6.5378332629176841E+000                  5.2217425428927431E+000                  6.9999998907591998E-001                  2.8000001092408022E-001                  1.9999999999999796E-002                  7.9615346525335419E-009                  1.8703469582558122E+017 
                                      38                  9.9999999987728216E-001                  2.6446077798871176E-004                  3.9520784231627211E+000                 -6.5332849561843522E+000                  5.2307457861008517E+000                  6.9999998907591998E-001                  2.8000001092408022E-001                  1.9999999999999796E-002                  7.9615346531555585E-009                  1.8508460616740198E+017 
                                      39                  9.9999999987337596E-001                  2.6174610013883655E-004                  3.9575631755499234E+000                 -6.5264773259080275E+000                  5.2439104058104160E+000                  6.9999998907591998E-001                  2.8000001092408022E-001                  1.9999999999999796E-002                  7.9615346537775471E-009                  1.8220374020833741E+017 
                                      40                  9.9999999986556343E-001                  2.5640103805089432E-004                  3.9641342648341795E+000                 -6.5172395917162191E+000                  5.2608654011406886E+000                  6.9999998907591998E-001                  2.8000001092408022E-001                  1.9999999999999796E-002                  7.9615346550215506E-009                  1.7836604549067565E+017 
                                      41                  9.9999999985775090E-001                  2.5116827720265972E-004                  3.9700781787270398E+000                 -6.5080032238770302E+000                  5.2771840358879514E+000                  6.9999998907591998E-001                  2.8000001092408022E-001                  1.9999999999999796E-002                  7.9615346562655277E-009                  1.7460970092721610E+017 
                                      42                  9.9999999984993837E-001                  2.4604544592704092E-004                  3.9754953763768994E+000                 -6.4988178621330839E+000                  5.2929123670672364E+000                  6.9999998907591998E-001                  2.8000001092408022E-001                  1.9999999999999796E-002                  7.9615346575095329E-009                  1.7095252564652000E+017 
